table_name,rows
basin_attributes_curated.csv,240
basin_attributes_curated_wide.csv,6
basin_context_gold.csv,6
daily_discharge_gold.csv,154370
daily_hydroclimate_gold.csv,52726
doc_labels_gold.csv,547
lab_optical_proxy_gold.csv,882
optical_match_candidates_0d.csv,1307
optical_match_candidates_1d.csv,4085
optical_match_candidates_3d.csv,9611
optical_match_candidates_7d.csv,21109
optical_timeseries_gold.csv,142058
prediction_grid_daily_hydrocore.csv,52594
prediction_grid_daily_with_basin_context.csv,52594
roi_catalog_gold.csv,39
training_matrix_basin_context.csv,547
training_matrix_hydrocore.csv,547
training_matrix_optical_matched_0d.csv,188
training_matrix_optical_matched_1d.csv,297
training_matrix_optical_matched_3d.csv,374
training_matrix_optical_matched_3d_hls.csv,144
training_matrix_optical_matched_3d_landsat.csv,184
training_matrix_optical_matched_3d_sentinel2.csv,46
training_matrix_optical_matched_7d.csv,420
